Datetime,Ticker,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Income,Non-Operating Income Loss,Pretax Income,Income Tax Expense,Net Extraordinary Losses,Net Income,"Basic EPS, GAAP",Diluted Weighted Avr # of Shares,"Diluted EPS, GAAP",EBITDA,Trailing 12M EBITDA Margin,Gross Margin,Operating Margin,Profit Margin,Dividends per Share,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Non-Cash Working Capital,Change in Accounts & Notes Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Cash from Operating Activities,Change in Fixed & Intangible Assets,Acquisition of Fixed & Intangibles,Other Investing Activities,Cash from Investing Activities,Dividends Paid,Cash from Repaid Debt,Cash from Repurchase of Equity,Other Financing Activities,Cash from Financing Activities,Net Changes in Cash,Free Cash Flow,Free Cash Flow per Basic Share,Price to Free Cash Flow,Cash Flow to Net Income,"Cash, Cash Equivalents & STI",Accounts & Notes Receivable,Inventories,"Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Net Debt,Cash Conversion Cycle,Number of Employees,Last Price,Sales Actual,Net Income Actual,Enterprise Value,Price to Book,P/E,Shares Outstanding,Capital Expenditures,Personal Consumption Expenditures,CPI Urban Consumers YOY,ISM Manufacturing,Change in Nonfarm Payrolls,Unemployment Rate,Housing Starts,US Trade Balance
2000-01-01,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.931,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.918,1336,111,13322.1468,3.8874,36.385,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-02,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.931,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.918,1336,111,13322.1468,3.8874,36.385,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-03,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.5224,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.999,1336,111,14789.4376,4.2324,39.6143,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-04,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.8765,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.915,1336,111,13271.8971,3.8756,36.2744,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-05,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.1381,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.929,1336,111,13513.0956,3.9323,36.8052,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-06,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,16.5684,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.848,1336,111,12065.9046,3.592,33.6201,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-07,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.3533,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.888,1336,111,12789.5001,3.7622,35.2127,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-08,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.3533,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.888,1336,111,12789.5001,3.7622,35.2127,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-09,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.3533,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.888,1336,111,12789.5001,3.7622,35.2127,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-10,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.0481,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.873,1336,111,12508.1019,3.696,34.5934,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-11,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,16.176,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.828,1336,111,11704.1069,3.5069,32.8239,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-12,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,15.2059,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.778,1336,111,10809.6625,3.2966,30.8553,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-13,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,16.8737,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.864,1336,111,12347.3029,3.6582,34.2395,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-14,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-15,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-16,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-17,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,17.5168,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.897,1336,111,12940.2492,3.7976,35.5445,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-18,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.1272,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.928,1336,111,13503.0456,3.9299,36.7831,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-19,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,18.585,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.951,1336,111,13925.143,4.0292,37.7121,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-20,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.7949,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,1.013,1336,111,15040.686,4.2915,40.1672,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-21,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.4134,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.994,1336,111,14688.9382,4.2088,39.3931,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
2000-01-22,AAPL,2343,1736,607,0,100,-169,274,91,0,183,0.0101,19982.704,0.0092,120,6.5169,25.907,4.268,7.8105,0,20,-64,64,-128,234,-211,5,362,78,373,-38,-38,-51,-89,0,0,-24,0,-24,260,335,0.0186,19.4134,2.0383,3660,892,15,318,2140,219,2677,7586,1174,0,791,1965,300,907,1207,3172,1345,1237,4414,4414,7586,-3360,-17.7561,6960,0.994,1336,111,14688.9382,4.2088,39.3931,18009.488,-38,0.13,2.7,57.8,307,4,1708,-25.939
