number,value,datetime_start,datetime_complete,duration,attention_head_size,dropout,gradient_clip_val,hidden_continuous_size,hidden_size,learning_rate,state,lstm_layers,pct,float_precision,max_epoch,timeout,n_trials,gradient_clip_val_range,hidden_size_range,hidden_continuous_size_range,attention_head_size_range,learning_rate_range,dropout_range,limit_train_batches,log_every_n_steps,reduce_on_plateau_patience,model_path
92,4.257380962371826,2023-10-07 13:53:06.489296,2023-10-07 14:15:25.735788,0 days 00:22:19.246492,12,0.1937392527298583,0.0732052012235216,17,30,0.0182248281455694,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
69,4.409678936004639,2023-10-07 06:59:04.656855,2023-10-07 07:16:57.109143,0 days 00:17:52.452288,12,0.2033466366714983,0.053561419115317,17,41,0.0200373856897672,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
56,4.500582695007324,2023-10-07 03:08:10.575715,2023-10-07 03:25:55.132731,0 days 00:17:44.557016,8,0.220623063358159,0.0219370643132393,12,22,0.0528005260184301,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
35,4.582631587982178,2023-10-06 20:53:04.599611,2023-10-06 21:11:04.904343,0 days 00:18:00.304732,11,0.1616268220560561,0.0383502675298956,8,29,0.0328348269807534,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
91,4.603669166564941,2023-10-07 13:34:10.624734,2023-10-07 13:53:06.489296,0 days 00:18:55.864562,12,0.1888703096447969,0.0726156981100713,16,29,0.0217147435863538,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
111,4.610858917236328,2023-10-07 19:41:55.606448,2023-10-07 20:06:16.808885,0 days 00:24:21.202437,13,0.1826760749105269,0.0393219203785635,17,33,0.0189097750671386,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
64,4.909682273864746,2023-10-07 05:29:59.653353,2023-10-07 05:47:46.976033,0 days 00:17:47.322680,5,0.2528876332424272,0.0244301647404966,17,35,0.0232128766825547,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
127,5.101225852966309,2023-10-08 01:15:30.399628,2023-10-08 01:33:36.224620,0 days 00:18:05.824992,8,0.2185721505638989,0.0726801707359938,21,46,0.0372367373464432,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
107,5.16615104675293,2023-10-07 18:27:56.862658,2023-10-07 18:45:48.450721,0 days 00:17:51.588063,11,0.1722783038826689,0.0387465676093258,18,36,0.0135250626045952,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
11,5.324365139007568,2023-10-01 21:33:36.577075,2023-10-01 21:51:06.780198,0 days 00:17:30.203123,13,0.1126456249073495,0.0297321076021699,12,46,0.0193642199050372,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
124,5.331720352172852,2023-10-08 00:21:57.770881,2023-10-08 00:39:49.766479,0 days 00:17:51.995598,11,0.2076565237161146,0.049898511826429,18,35,0.0200147757921295,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
47,5.447416305541992,2023-10-07 00:28:16.376039,2023-10-07 00:45:58.124013,0 days 00:17:41.747974,10,0.203709535231513,0.0492208757753755,8,20,0.0225633733877359,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
73,5.46612024307251,2023-10-07 08:10:29.555564,2023-10-07 08:28:20.388326,0 days 00:17:50.832762,13,0.2303007921610989,0.0377905632404739,16,30,0.0173109825435282,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
76,5.494470119476318,2023-10-07 09:04:06.465894,2023-10-07 09:21:55.523197,0 days 00:17:49.057303,13,0.2322481006623502,0.0444159113806742,15,40,0.0128500202780635,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
103,5.63136100769043,2023-10-07 17:16:26.553850,2023-10-07 17:34:20.868752,0 days 00:17:54.314902,13,0.1831621765691455,0.0385021685141875,15,34,0.0158950836166525,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
74,5.638284683227539,2023-10-07 08:28:20.389329,2023-10-07 08:46:11.693226,0 days 00:17:51.303897,13,0.2302548644241301,0.0440206525851304,15,41,0.0168948794156138,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
36,5.690714359283447,2023-10-06 21:11:04.904343,2023-10-06 21:29:03.394434,0 days 00:17:58.490091,11,0.1656865213952579,0.0566099671354797,8,30,0.0332494934711534,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
30,5.718274116516113,2023-10-06 16:57:20.519536,2023-10-06 19:41:03.312808,0 days 02:43:42.793272,13,0.239480866074836,0.0374886207505492,9,31,0.0381717629500003,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
98,5.787913799285889,2023-10-07 15:46:34.372381,2023-10-07 16:04:26.908137,0 days 00:17:52.535756,10,0.2079288623663705,0.0748769940719182,19,30,0.0190787814505663,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
77,5.8054280281066895,2023-10-07 09:21:55.523197,2023-10-07 09:39:51.655033,0 days 00:17:56.131836,15,0.2083434892717608,0.024579032468084,17,41,0.0130255367660775,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
79,5.84898567199707,2023-10-07 09:58:01.294966,2023-10-07 10:16:06.435061,0 days 00:18:05.140095,12,0.2013852072835687,0.0378784686194288,16,55,0.0199199103253822,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
99,5.880499839782715,2023-10-07 16:04:26.909137,2023-10-07 16:22:18.982719,0 days 00:17:52.073582,13,0.1082530244556631,0.059803985784029,11,37,0.0205572540718794,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
81,5.944905757904053,2023-10-07 10:33:57.996061,2023-10-07 10:52:06.669741,0 days 00:18:08.673680,13,0.2350812140724898,0.0432505498726063,15,39,0.0164987899347916,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
61,6.050056457519531,2023-10-07 04:36:47.723905,2023-10-07 04:54:32.820713,0 days 00:17:45.096808,3,0.2492613783904932,0.0234782316036546,12,26,0.0342083957841164,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
102,6.061940670013428,2023-10-07 16:58:27.390722,2023-10-07 17:16:26.552848,0 days 00:17:59.162126,12,0.1926436016901369,0.0430203960277143,17,41,0.01757483594594,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
80,6.062543869018555,2023-10-07 10:16:06.435061,2023-10-07 10:33:57.995059,0 days 00:17:51.559998,10,0.190175599284923,0.0288380631061799,15,33,0.0110252877075331,COMPLETE,1,False,medium,10,604800,100,"(0.01, 1.0)","(8, 180)","(8, 180)","(1, 16)","(0.001, 0.1)","(0.1, 0.4)",30,30,4,studies/lstm_layers_1
