number,batch_size,corr_thresh,float_precision,limit_train_batches,log_every_n_steps,lstm_layers,max_epochs,max_prediction_length,n_splits,name,pct,reduce_on_plateau_patience,scaling_method,target,train_test_pct,val_MAPE,val_RMSE,attention_head_size,dropout,gradient_clip_val,hidden_continuous_size,hidden_size,learning_rate,duration,ckpt_path,max_encoder_length,max_study_epochs,max_train_epochs,train_loss,train_loss_epoch,train_loss_step,val_MAE,val_SMAPE,val_loss
106,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0527580268681049,9.86040496826172,14.0,0.1039070964082682,0.5527986646929383,61.0,72.0,0.2675476748732467,0 days 00:03:40.176359,,,,,,,,,,
91,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.053015973418951,9.839557647705078,13.0,0.1208117203448922,0.7692483282271367,27.0,67.0,0.4215557510251328,0 days 00:20:02.722461,,,,,,,,,,
52,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0530867092311382,9.757224082946776,16.0,0.1377363157801088,0.4239097072959348,4.0,45.0,0.0750350083688721,0 days 00:03:30.437736,,,,,,,,,,
188,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0536421872675418,10.301606178283691,10.0,0.1771107010644349,0.458889994649485,25.0,26.0,0.4883516173325608,0 days 00:03:37.706322,,,,,,,,,,
121,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0536838173866272,10.251399993896484,14.0,0.1566074058783031,0.5604329839125037,73.0,93.0,0.1096045308531494,0 days 00:03:41.293154,,,,,,,,,,
157,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0537221282720565,10.17553424835205,13.0,0.1532621211316452,0.4636811844511127,44.0,49.0,0.0784052760005235,0 days 00:03:39.074059,,,,,,,,,,
93,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0538311637938022,9.717655181884766,14.0,0.14763228807445,0.6069236951639394,4.0,43.0,0.0249495640085354,0 days 00:03:29.410838,,,,,,,,,,
117,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0538596138358116,9.826751708984377,14.0,0.124832903088158,0.4927222327093985,6.0,6.0,0.399684972332295,0 days 00:03:15.717409,,,,,,,,,,
170,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.054234642535448,9.880953788757324,16.0,0.1141625722904456,0.120800311966201,2.0,12.0,0.0399355324572944,0 days 00:03:29.379257,,,,,,,,,,
17,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0547684244811534,10.582202911376951,16.0,0.1415989723426305,0.524816368148803,6.0,87.0,0.0569317049367426,0 days 00:03:31.243937,,,,,,,,,,
195,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0549723431468009,10.595155715942385,13.0,0.1429129940455492,0.2537509133770387,14.0,32.0,0.010344243274952,0 days 00:03:33.198045,,,,,,,,,,
23,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0550442598760128,10.670123100280762,14.0,0.1455757344314823,0.2675803030876909,5.0,19.0,0.0210120368287805,0 days 00:03:29.292794,,,,,,,,,,
76,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.055506806820631,10.97300910949707,4.0,0.1288318741707572,0.3212988553156631,2.0,72.0,0.3399695837364809,0 days 00:03:35.749422,,,,,,,,,,
127,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0561799779534339,10.076288223266602,14.0,0.1674886325955207,0.4798814728171651,78.0,91.0,0.0876805710451622,0 days 00:03:40.332885,,,,,,,,,,
44,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0573344863951206,11.173840522766112,14.0,0.1253129085399079,0.2966904928830921,7.0,50.0,0.0114765845512029,0 days 00:03:33.864224,,,,,,,,,,
139,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0575628615915775,11.414702415466309,10.0,0.1671933821569507,0.8276747996915194,52.0,58.0,0.3501101029308557,0 days 00:03:39.437363,,,,,,,,,,
194,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0576471537351608,11.399083137512209,13.0,0.1457107959930177,0.261417294549558,14.0,29.0,0.0092000529117031,0 days 00:03:32.720639,,,,,,,,,,
171,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.0580016337335109,10.148316383361816,16.0,0.1111603110729874,0.1147051136648488,2.0,14.0,0.0403552386635562,0 days 00:03:29.731154,,,,,,,,,,
20,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0580172426998615,11.51388454437256,11.0,0.1586794123627989,0.5903189801070211,70.0,100.0,0.0309572936637267,0 days 00:03:41.485601,,,,,,,,,,
16,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0583822391927242,10.255792617797852,11.0,0.1976994127934895,0.4682449846400814,8.0,85.0,0.2790905343696161,0 days 00:03:40.273841,,,,,,,,,,
140,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0584082715213298,11.605277061462402,10.0,0.1196623940302083,0.7998717417831757,52.0,58.0,0.5636327327188392,0 days 00:03:38.082688,,,,,,,,,,
35,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.058420144021511,10.27260684967041,5.0,0.1770774033975631,0.3074213910572054,29.0,52.0,0.6140527565163034,0 days 00:03:38.334793,,,,,,,,,,
174,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0584405735135078,11.593031883239746,14.0,0.1207613905000484,0.5920497225373742,10.0,10.0,0.0364345488521739,0 days 00:03:15.487765,,,,,,,,,,
165,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0588764399290084,11.680455207824709,11.0,0.1298164488970029,0.5432120737948924,25.0,26.0,0.071669062332156,0 days 00:03:36.875438,,,,,,,,,,
33,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0592404901981353,10.368961334228516,14.0,0.2008332918804543,0.0331687465624984,7.0,18.0,0.0204131233639882,0 days 00:03:29.686258,,,,,,,,,,
